,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2404,2024,SE,FT,Analytics Engineer,132100.0,USD,132100.0,US,100.0,US,M
2405,2024,SE,FT,Analytics Engineer,96700.0,USD,96700.0,US,100.0,US,M
2406,2024,MI,FT,Data Manager,98500.0,USD,98500.0,US,100.0,US,M
2407,2024,MI,FT,Data Manager,71500.0,USD,71500.0,US,100.0,US,M
2408,2024,SE,FT,Machine Learning Engineer,200800.0,USD,200800.0,US,0.0,US,M
2409,2024,SE,FT,Machine Learning Engineer,107800.0,USD,107800.0,US,0.0,US,M
2410,2024,EN,FT,Data Analyst,106100.0,USD,106100.0,US,0.0,US,M
2411,2024,EN,FT,Data Analyst,74300.0,USD,74300.0,US,0.0,US,M
2412,2024,SE,FT,Data Analyst,153900.0,USD,153900.0,US,0.0,US,M
2413,2024,SE,FT,Data Analyst,112715.0,USD,112715.0,US,0.0,US,M
2414,2024,SE,FT,Analytics Engineer,105000.0,USD,105000.0,US,0.0,US,M
2415,2024,SE,FT,Analytics Engineer,94200.0,USD,94200.0,US,0.0,US,M
2416,2024,MI,FT,Data Product Manager,171000.0,USD,171000.0,US,100.0,US,M
2417,2024,MI,FT,Data Product Manager,136000.0,USD,136000.0,US,100.0,US,M
2418,2024,SE,FT,Machine Learning Engineer,221000.0,USD,221000.0,US,0.0,US,M
2419,2024,SE,FT,Machine Learning Engineer,185000.0,USD,185000.0,US,0.0,US,M
2420,2024,EN,FT,Data Analyst,92700.0,USD,92700.0,US,100.0,US,M
2421,2024,EN,FT,Data Analyst,64900.0,USD,64900.0,US,100.0,US,M
2422,2024,MI,FT,Data Engineer,126600.0,USD,126600.0,US,0.0,US,M
2423,2024,MI,FT,Data Engineer,80800.0,USD,80800.0,US,0.0,US,M
2424,2024,SE,FT,Data Scientist,164845.0,USD,164845.0,US,0.0,US,M
2425,2024,SE,FT,Data Scientist,119887.0,USD,119887.0,US,0.0,US,M
2426,2024,EN,FT,Data Analyst,93000.0,USD,93000.0,US,0.0,US,M
2427,2024,EN,FT,Data Analyst,87000.0,USD,87000.0,US,0.0,US,M
2428,2024,MI,FT,Data Analyst,103500.0,USD,103500.0,US,0.0,US,M
2429,2024,MI,FT,Data Analyst,65600.0,USD,65600.0,US,0.0,US,M
2430,2024,MI,FT,Business Intelligence Engineer,165600.0,USD,165600.0,US,0.0,US,L
2431,2024,MI,FT,Business Intelligence Engineer,65800.0,USD,65800.0,US,0.0,US,L
